company_name,normalized_company_name,source_status,source_notes,source_section,source_row,include_in_research,relevance_review_status,category_guess,priority_level,career_page_url,greenhouse_url,lever_url,workday_url,ashby_url,job_board_type,preferred_locations,role_keywords,exclude_keywords,notes_for_fable
Santander Bank,santander bank,,,S,8,yes,validate,bank or broker dealer,medium,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
3Red Partners,3red partners,,,0-9,9,yes,validate,hedge fund or asset manager,medium,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Deep Blue Capital,deep blue capital,,,D,9,yes,validate,hedge fund or asset manager,high,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Kepos Capital,kepos capital,,,K,9,yes,validate,hedge fund or asset manager,high,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Sarpen Investments,sarpen investments,,,S,9,yes,validate,hedge fund or asset manager,medium,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
4170 Trading,4170 trading,NO POSITIONS,,0-9,10,yes,validate,prop trading or market making,high,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Deribit,deribit,,,D,10,yes,validate,needs validation,review,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Kershner Trading Group,kershner trading group,,,K,10,yes,validate,prop trading or market making,high,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
SCALP Trade,scalp trade,,,S,10,yes,validate,prop trading or market making,review,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
A Priori Investments,a priori investments,,,A,11,yes,validate,hedge fund or asset manager,medium,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Delta Exchange,delta exchange,,,D,11,yes,validate,needs validation,review,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Kronos,kronos,,,K,11,yes,validate,needs validation,review,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Schonfeld,schonfeld,,,S,11,yes,validate,needs validation,review,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
AllState,allstate,,,A,12,yes,validate,needs validation,review,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Dexterity Capital,dexterity capital,,,D,12,yes,validate,hedge fund or asset manager,high,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Keyrock,keyrock,,,K,12,yes,validate,crypto or digital assets,medium,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Schroders,schroders,,,S,12,yes,validate,needs validation,review,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
ABC Arbitrage,abc arbitrage,,,A,13,yes,validate,prop trading or market making,high,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Dolat Capital,dolat capital,,,D,13,yes,validate,hedge fund or asset manager,high,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Koch Supply & Trading,koch supply trading,,,K,13,yes,validate,prop trading or market making,high,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Science Vessel Lab,science vessel lab,,,S,13,yes,validate,needs validation,review,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Aberdeen,aberdeen,,,A,14,yes,validate,needs validation,review,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
DBS,dbs,,,D,14,yes,validate,needs validation,review,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Kore Trading,kore trading,,,K,14,yes,validate,prop trading or market making,high,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Sealand Securities,sealand securities,,,S,14,yes,validate,bank or broker dealer,high,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Acadian Asset Management,acadian asset management,,,A,15,yes,validate,hedge fund or asset manager,medium,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
