company_name,normalized_company_name,source_status,source_notes,source_section,source_row,include_in_research,relevance_review_status,category_guess,priority_level,career_page_url,greenhouse_url,lever_url,workday_url,ashby_url,job_board_type,preferred_locations,role_keywords,exclude_keywords,notes_for_fable
Squarepoint Capital,squarepoint capital,APPLIED,,S,35,yes,validate,hedge fund or asset manager,high,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Alphataraxia Management,alphataraxia management,,,A,36,yes,validate,hedge fund or asset manager,medium,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Engineers Gate,engineers gate,,,E,36,yes,validate,needs validation,review,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Marshall Wace,marshall wace,,,M,36,yes,validate,needs validation,review,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
SSW Trading,ssw trading,,,S,36,yes,validate,prop trading or market making,high,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Alyeska Investment Group,alyeska investment group,,,A,37,yes,validate,hedge fund or asset manager,medium,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Enigma Securities,enigma securities,,,E,37,yes,validate,bank or broker dealer,high,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Mathrix,mathrix,,,M,37,yes,validate,needs validation,review,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Standard Chartered,standard chartered,,,S,37,yes,validate,needs validation,review,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
American Century Investments,american century investments,,,A,38,yes,validate,hedge fund or asset manager,medium,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Epoch Capital,epoch capital,,,E,38,yes,validate,hedge fund or asset manager,high,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Maven Securities,maven securities,,,M,38,yes,validate,bank or broker dealer,high,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
State Street,state street,CHECK BACK,,S,38,yes,validate,needs validation,high,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Amundi,amundi,,,A,39,yes,validate,needs validation,review,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Eqvilent,eqvilent,,,E,39,yes,validate,needs validation,review,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Maverick Derivatives,maverick derivatives,,,M,39,yes,validate,prop trading or market making,high,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Stevens Capital Management,stevens capital management,,,S,39,yes,validate,hedge fund or asset manager,high,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Ansatz Capital,ansatz capital,,,A,40,yes,validate,hedge fund or asset manager,high,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Eschaton Trading,eschaton trading,,,E,40,yes,validate,prop trading or market making,high,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
McKay Brothers,mckay brothers,,,M,40,yes,validate,needs validation,review,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
StoneX Group,stonex group,CHECK BACK,,S,40,yes,validate,needs validation,high,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Anchorage,anchorage,,,A,41,yes,validate,needs validation,review,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Essence Securities,essence securities,,,E,41,yes,validate,bank or broker dealer,high,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Mercuria Energy Group,mercuria energy group,,,M,41,yes,validate,energy or commodities,medium,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Stout,stout,,,S,41,yes,validate,needs validation,review,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
APS Asset Management,aps asset management,,,A,42,yes,validate,hedge fund or asset manager,medium,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Evergreen Statistical Trading,evergreen statistical trading,,,E,42,yes,validate,prop trading or market making,high,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
MFS Investment Management,mfs investment management,,,M,42,yes,validate,hedge fund or asset manager,medium,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
STX Traders,stx traders,,,S,42,yes,validate,prop trading or market making,review,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
APT Portfolios,apt portfolios,,,A,43,yes,validate,needs validation,review,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Equinor,equinor,,,E,43,yes,validate,needs validation,review,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Millburn,millburn,,,M,43,yes,validate,needs validation,review,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Sumeru Capital,sumeru capital,,,S,43,yes,validate,hedge fund or asset manager,high,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
AQR Capital Management,aqr capital management,,,A,44,yes,validate,hedge fund or asset manager,high,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
ExodusPoint,exoduspoint,,,E,44,yes,validate,needs validation,review,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Millenium,millenium,APPLIED,trad op,M,44,yes,validate,needs validation,high,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Sunrise Futures,sunrise futures,,,S,44,yes,validate,prop trading or market making,high,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Aqua Selection Capital Management,aqua selection capital management,,,A,45,yes,validate,hedge fund or asset manager,high,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
FalconX,falconx,,,F,45,yes,validate,crypto or digital assets,medium,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
MIO Partners,mio partners,,,M,45,yes,validate,hedge fund or asset manager,medium,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Sunshine Quantitative Investment,sunshine quantitative investment,,,S,45,yes,validate,hedge fund or asset manager,high,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Aquatic Capital,aquatic capital,,,A,46,yes,validate,hedge fund or asset manager,high,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Farringdon Capital,farringdon capital,,,F,46,yes,validate,hedge fund or asset manager,high,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Mono ceros,mono ceros,,,M,46,yes,validate,needs validation,review,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Systematica Investments,systematica investments,,,S,46,yes,validate,hedge fund or asset manager,medium,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Archer Daniels Midland,archer daniels midland,,,A,47,yes,validate,needs validation,review,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Fasanara Investments,fasanara investments,,,F,47,yes,validate,hedge fund or asset manager,medium,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Moodys,moodys,,,M,47,yes,validate,needs validation,review,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
T3 Trading,t3 trading,,,T,47,yes,validate,prop trading or market making,high,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Arrowstreet Capital,arrowstreet capital,APPLIED,,A,48,yes,validate,hedge fund or asset manager,high,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Fidelity,fidelity,,,F,48,yes,validate,needs validation,review,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Morgan Stanley,morgan stanley,,,M,48,yes,validate,bank or broker dealer,medium,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
T. Rowe Price,t rowe price,,,T,48,yes,validate,needs validation,review,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Asp ect Capital,asp ect capital,,,A,49,yes,validate,hedge fund or asset manager,high,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Final LTD,final ltd,,,F,49,yes,validate,needs validation,review,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Musket,musket,,,M,49,yes,validate,needs validation,review,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
