company_name,normalized_company_name,is_relevant,relevance_reason,company_category,official_careers_url,job_board_type,job_board_query_url,greenhouse_slug,lever_slug,ashby_slug,workday_cxs_url,supported_locations,source_confidence,scrape_method,scrape_frequency,last_validated_at,validation_notes,priority_level
MFS Investment Management,mfs,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
STX Traders,stx traders,yes,seed category 'prop trading or market making',prop trading or market making,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,review
APT Portfolios,apt portfolios,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Equinor,equinor,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Millburn,millburn,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Sumeru Capital,sumeru,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
AQR Capital Management,aqr,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,greenhouse,https://boards-api.greenhouse.io/v1/boards/aqr/jobs,aqr,,,,,verified,api,daily,2026-07-05,,high
ExodusPoint,exoduspoint,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Millenium,millenium,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,high
Sunrise Futures,sunrise futures,yes,seed category 'prop trading or market making',prop trading or market making,,greenhouse,https://boards-api.greenhouse.io/v1/boards/sunrise/jobs,sunrise,,,,,verified,api,daily,2026-07-05,,high
Aqua Selection Capital Management,aqua selection,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
FalconX,falconx,yes,seed category 'crypto or digital assets',crypto or digital assets,,greenhouse,https://boards-api.greenhouse.io/v1/boards/falconx/jobs,falconx,,,,,verified,api,daily,2026-07-05,,medium
MIO Partners,mio,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
Sunshine Quantitative Investment,sunshine quantitative,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
Aquatic Capital,aquatic,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,ashby,https://api.ashbyhq.com/posting-api/job-board/aquatic,,,aquatic,,,verified,api,daily,2026-07-05,,high
Farringdon Capital,farringdon,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
Mono ceros,mono ceros,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Systematica Investments,systematica,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
Archer Daniels Midland,archer daniels midland,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Fasanara Investments,fasanara,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
Moodys,moodys,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
T3 Trading,t3 trading,yes,seed category 'prop trading or market making',prop trading or market making,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
Arrowstreet Capital,arrowstreet,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
Fidelity,fidelity,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Morgan Stanley,morgan stanley,yes,seed category 'bank or broker dealer',bank or broker dealer,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
T. Rowe Price,t rowe price,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Asp ect Capital,asp ect,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
Final LTD,final,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Musket,musket,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Taikang Asset Management,taikang,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
Atlas Research,atlas research,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,ashby,https://api.ashbyhq.com/posting-api/job-board/atlas,,,atlas,,,verified,api,daily,2026-07-05,,high
First Beijing,first beijing,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
MUFG,mufg,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Tanius Technology,tanius technology,needs_review,tech/data provider — include only if it serves trading; needs manual review,tech or data provider,,,,,,,,,,,daily,2026-07-05,,review
Auros,auros,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Five Dimensions Energy,five dimensions energy,yes,seed category 'energy or commodities',energy or commodities,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
Mustard Systems,mustard systems,needs_review,tech/data provider — include only if it serves trading; needs manual review,tech or data provider,,,,,,,,,,,daily,2026-07-05,,review
TD Securities,td securities,yes,seed category 'bank or broker dealer',bank or broker dealer,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
Aviva Investors,aviva investors,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
Five Rings,five rings,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,high
N.K. Securities,nk securities,yes,seed category 'bank or broker dealer',bank or broker dealer,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
Temple,temple,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Allipes,allipes,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,high
Florin Court Capital,florin court,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
NASDAQ,nasdaq,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Tenzan Capital,tenzan,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
AXA Investments,axa,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
Flow Traders,flow traders,yes,seed category 'prop trading or market making',prop trading or market making,,greenhouse,https://boards-api.greenhouse.io/v1/boards/flowtraders/jobs,flowtraders,,,,,verified,api,daily,2026-07-05,,high
NatWest Markets,natwest markets,yes,seed category 'prop trading or market making',prop trading or market making,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
Temasek,temasek,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Axiom Markets,axiom markets,yes,seed category 'prop trading or market making',prop trading or market making,,greenhouse,https://boards-api.greenhouse.io/v1/boards/axiom/jobs,axiom,,,,,verified,api,daily,2026-07-05,,high
Folkvang,folkvang,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Nebula Research & Development,nebula research and development,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
Teza Technologies,teza technologies,needs_review,tech/data provider — include only if it serves trading; needs manual review,tech or data provider,,,,,,,,,,,daily,2026-07-05,,review
BHG Financial,bhg financial,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,high
Fortune Joint,fortune joint,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Neo Ivy Capital Management,neo ivy,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
TGS,tgs,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Bainbridge Partners,bainbridge,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
Freestone Grove Partners,freestone grove,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
Neuberger Berman,neuberger berman,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Tower Research Capital,tower research,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,greenhouse,https://boards-api.greenhouse.io/v1/boards/towerresearchcapital/jobs,towerresearchcapital,,,,,verified,api,daily,2026-07-05,,high
Balyasny Asset Management,balyasny,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
Fullerton Fund Management,fullerton fund,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
New Line Networks,new line networks,needs_review,tech/data provider — include only if it serves trading; needs manual review,tech or data provider,,,,,,,,,,,daily,2026-07-05,,review
Token Metrics,token metrics,yes,seed category 'crypto or digital assets',crypto or digital assets,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
Bank of America,bank of america,yes,seed category 'bank or broker dealer',bank or broker dealer,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
Futu Holdings,futu,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Nine Mile,nine mile,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Tradebot,tradebot,yes,seed category 'prop trading or market making',prop trading or market making,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,review
Bank of New York Mellon,bank of new york mellon,yes,seed category 'bank or broker dealer',bank or broker dealer,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
Futures First,futures first,yes,seed category 'prop trading or market making',prop trading or market making,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
Noise Labs,noise labs,needs_review,tech/data provider — include only if it serves trading; needs manual review,tech or data provider,,,,,,,,,,,daily,2026-07-05,,review
Tradelink,tradelink,yes,seed category 'prop trading or market making',prop trading or market making,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,review
Bank of Suzhou,bank of suzhou,yes,seed category 'bank or broker dealer',bank or broker dealer,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
G-Research,gresearch,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
Noble Group,noble,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Trafigura,trafigura,yes,seed category 'energy or commodities',energy or commodities,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
Banyan Alpha Investment,banyan alpha,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
G1,g1,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Nomura,nomura,yes,seed category 'bank or broker dealer',bank or broker dealer,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
TransMarket Group,transmarket,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Barak Capital,barak,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
Galaxy Derivatives,galaxy derivatives,yes,seed category 'prop trading or market making',prop trading or market making,,greenhouse,https://boards-api.greenhouse.io/v1/boards/galaxy/jobs,galaxy,,,,,verified,api,daily,2026-07-05,,high
Northpool,northpool,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Transtrend,transtrend,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Barclays,barclays,yes,seed category 'bank or broker dealer',bank or broker dealer,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
Galaxy Digital,galaxy digital,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Northwestern Mutual,northwestern mutual,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Trexquant,trexquant,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
Barings,barings,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Galois Capital,galois,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
Nova Prospect,nova prospect,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Trillium Trading,trillium trading,yes,seed category 'prop trading or market making',prop trading or market making,,greenhouse,https://boards-api.greenhouse.io/v1/boards/trillium/jobs,trillium,,,,,verified,api,daily,2026-07-05,,high
Bastion Trading,bastion trading,yes,seed category 'prop trading or market making',prop trading or market making,,ashby,https://api.ashbyhq.com/posting-api/job-board/bastion,,,bastion,,,verified,api,daily,2026-07-05,,high
GAM Systematic,gam systematic,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Numeus,numeus,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Tsuru Capital,tsuru,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
BEA Union,bea union,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Gambit Research,gambit research,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
Nuveen Investment,nuveen,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
Tudor Investment Corp oration,tudor investment corp oration,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
Beijing Jiawo Asset Management,beijing jiawo,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
Garda Capital Partners,garda,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
NXT Capital,nxt,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
Twitch LLC,twitch,needs_review,tech/data provider — include only if it serves trading; needs manual review,tech or data provider,,,,,,,,,,,daily,2026-07-05,,review
Beijing Taichuang Investment Management,beijing taichuang,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
Gelber Group,gelber,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
NYDIG,nydig,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Two Sigma,two sigma,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Belvedere Trading,belvedere trading,yes,seed category 'prop trading or market making',prop trading or market making,,lever,https://api.lever.co/v0/postings/belvederetrading?mode=json,,belvederetrading,,,,verified,api,daily,2026-07-05,,high
Geneva Trading,geneva trading,yes,seed category 'prop trading or market making',prop trading or market making,,greenhouse,https://boards-api.greenhouse.io/v1/boards/genevatrading/jobs,genevatrading,,,,,verified,api,daily,2026-07-05,,high
Nyenburgh,nyenburgh,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
TwoQuants,twoquants,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
Betterment,betterment,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Genwealth Capital,genwealth,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
O'Shaughnessy Asset Management,oshaughnessy,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
Typhon Capital Management,typhon,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
BH Digital,bh digital,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Geode Capital Management,geode,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
Oaktree & Lion,oaktree and lion,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
UBS,ubs,yes,seed category 'bank or broker dealer',bank or broker dealer,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
Blackedge Capital,blackedge,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
GF Securities,gf securities,yes,seed category 'bank or broker dealer',bank or broker dealer,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
Occudo Quantitative Strategies,occudo quantitative strategies,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
UOB,uob,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Blackrock,blackrock,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
GIC,gic,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Odey Asset Management,odey,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
UTR8 Group,utr8,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Blackstone,blackstone,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Glencore,glencore,yes,seed category 'energy or commodities',energy or commodities,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
Old Mission Capital,old mission,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,greenhouse,https://boards-api.greenhouse.io/v1/boards/oldmissioncapital/jobs,oldmissioncapital,,,,,verified,api,daily,2026-07-05,,high
Valkyrie Trading,valkyrie trading,yes,seed category 'prop trading or market making',prop trading or market making,,lever,https://api.lever.co/v0/postings/valkyrietrading?mode=json,,valkyrietrading,,,,verified,api,daily,2026-07-05,,high
BlockTech,blocktech,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Goldman Sachs,goldman sachs,yes,seed category 'bank or broker dealer',bank or broker dealer,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
One William Street Capital,one william street,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
Value Partners,value,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
Bloomberg,bloomberg,needs_review,tech/data provider — include only if it serves trading; needs manual review,tech or data provider,,,,,,,,,,,daily,2026-07-05,,review
Graham Capital Management,graham,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
Open Systems Technologies,open systems technologies,needs_review,tech/data provider — include only if it serves trading; needs manual review,tech or data provider,,,,,,,,,,,daily,2026-07-05,,review
Voleon,voleon,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,high
BlueCrest Capital Management,bluecrest,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
Graviton Research Capital,graviton research,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
OCBC,ocbc,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Vatic Investments,vatic,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
Bluen Capital Management,bluen,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
Great Point Capital,great point,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
Optiver,optiver,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Vector Markets,vector markets,yes,seed category 'prop trading or market making',prop trading or market making,,ashby,https://api.ashbyhq.com/posting-api/job-board/vector,,,vector,,,verified,api,daily,2026-07-05,,high
Blueshift Asset Management,blueshift,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,greenhouse,https://boards-api.greenhouse.io/v1/boards/blueshift/jobs,blueshift,,,,,verified,api,daily,2026-07-05,,medium
Group One Trading,group one trading,yes,seed category 'prop trading or market making',prop trading or market making,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
Ora Traders,ora traders,yes,seed category 'prop trading or market making',prop trading or market making,,greenhouse,https://boards-api.greenhouse.io/v1/boards/ora/jobs,ora,,,,,verified,api,daily,2026-07-05,,review
Verition,verition,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
BNP Paribas,bnp paribas,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
GSA Capital Partners,gsa,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
Orsus Research,orsus research,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
Virtu,virtu,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,high
BNY Mellon,bny mellon,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
GSR,gsr,yes,seed category 'crypto or digital assets',crypto or digital assets,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
Oxford Asset Management,oxford,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
Vitol,vitol,yes,seed category 'energy or commodities',energy or commodities,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
Boerboel Trading,boerboel trading,yes,seed category 'prop trading or market making',prop trading or market making,,greenhouse,https://boards-api.greenhouse.io/v1/boards/boerboeltrading/jobs,boerboeltrading,,,,,verified,api,daily,2026-07-05,,high
GSR Crypto,gsr crypto,yes,seed category 'crypto or digital assets',crypto or digital assets,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
